username,followers,following,posts,bio_length,has_profile_picture,account_age_days,fake
user_624,5080,283,303,139,0,567,0.0
user_417,12,601,1,0,0,76,1.0
user_697,923,112,640,118,1,208,0.0
user_158,62,1074,42,1,0,89,1.0
user_422,44,1316,2,11,0,16,1.0
user_824,7748,273,269,91,1,637,0.0
user_242,55,1914,0,2,0,6,1.0
user_744,1024,305,446,198,1,230,0.0
user_279,49,646,5,5,1,24,1.0
user_660,6272,180,664,41,1,1251,0.0
user_209,31,784,40,2,0,54,1.0
user_641,5434,346,105,189,1,677,0.0
user_814,6981,421,310,42,0,106,0.0
user_503,50,1797,22,7,0,34,1.0
user_45,50,1320,41,16,1,38,1.0
user_631,1267,223,516,174,1,1445,0.0
user_920,4732,288,819,84,1,1224,0.0
user_693,604,223,780,117,1,1433,0.0
user_458,4,1746,26,16,1,90,1.0
user_568,1,1005,6,4,0,1,1.0
user_398,85,981,43,15,0,41,1.0
user_572,89,1226,20,17,0,71,1.0
user_643,4430,236,506,144,1,1022,0.0
user_48,72,697,44,19,1,86,1.0
user_957,105,203,633,40,1,1308,0.0
user_913,9005,201,284,191,1,698,0.0
user_62,70,1964,43,14,1,99,1.0
user_884,4532,365,162,98,1,855,0.0
user_470,29,1119,1,13,0,71,1.0
user_504,85,1939,27,7,1,13,1.0
user_415,24,671,12,16,0,64,1.0
user_204,50,1451,30,7,0,22,1.0
user_130,32,550,13,5,1,86,1.0
user_999,3590,391,636,73,1,1456,0.0
user_947,7086,122,157,32,1,1319,0.0
user_173,85,1705,7,15,1,59,1.0
user_986,360,11,647,192,1,1472,0.0
user_696,7676,154,791,36,1,709,0.0
user_364,48,629,21,9,1,86,1.0
user_879,5340,276,774,197,1,556,0.0
user_474,18,1304,37,19,0,67,1.0
user_18,29,1224,6,3,0,85,1.0
user_702,3727,353,937,184,1,305,0.0
user_636,5405,322,431,25,1,621,0.0
user_522,32,839,11,3,0,50,1.0
user_965,5660,110,532,122,1,1053,0.0
user_352,29,667,35,18,0,11,1.0
user_106,44,801,4,3,0,53,1.0
user_46,6,603,11,0,0,37,1.0
user_772,484,284,962,41,1,236,0.0
user_970,9433,83,540,165,1,1176,0.0
user_511,93,744,29,4,0,36,1.0
user_201,61,1489,32,16,1,76,1.0
user_736,3875,400,794,115,0,228,0.0
user_619,817,453,496,132,1,402,0.0
user_806,6644,261,448,155,1,1392,0.0
user_797,349,439,197,86,0,362,0.0
user_690,9676,11,232,144,1,1265,0.0
user_222,58,693,12,8,1,17,1.0
user_667,7594,6,270,128,1,738,0.0
user_713,3586,73,222,110,1,289,0.0
user_895,4721,391,992,117,1,520,0.0
user_392,57,1250,32,1,0,98,1.0
user_453,59,1382,12,7,0,81,1.0
user_234,43,1277,33,19,0,61,1.0
user_372,98,528,41,18,1,77,1.0
user_929,6471,102,456,162,1,504,0.0
user_905,3445,159,696,57,1,321,0.0
user_745,1681,269,674,101,1,287,0.0
user_649,1053,167,205,106,1,623,0.0
user_677,5401,393,752,128,1,294,0.0
user_148,89,1160,49,18,0,18,1.0
user_846,3918,427,419,178,1,1304,0.0
user_948,3617,389,416,120,1,980,0.0
user_185,29,655,9,9,0,72,1.0
user_420,56,774,20,14,1,54,1.0
user_958,7589,263,178,103,1,1208,0.0
user_576,73,918,1,8,0,95,1.0
user_561,42,1853,23,8,0,96,1.0
user_243,16,1872,23,17,1,69,1.0
user_16,1,1297,14,5,0,93,1.0
user_762,7549,78,838,91,1,976,0.0
user_896,5226,266,579,146,1,403,0.0
user_729,6919,241,595,36,1,1467,0.0
user_233,52,1299,5,9,1,72,1.0
user_982,2126,361,62,73,1,134,0.0
user_120,34,1507,48,12,0,55,1.0
user_752,1938,226,178,182,1,342,0.0
user_261,35,1601,43,13,1,17,1.0
user_595,35,1487,34,4,0,43,1.0
user_450,69,834,40,16,0,43,1.0
user_479,89,1482,29,10,1,19,1.0
user_144,77,1524,13,2,0,47,1.0
user_988,9965,11,651,156,1,1190,0.0
user_119,34,855,36,8,0,48,1.0
user_868,4877,318,985,100,1,1311,0.0
user_505,56,1562,39,12,1,43,1.0
user_996,2932,237,486,191,1,656,0.0
user_632,1162,317,979,193,1,111,0.0
user_924,9895,416,485,174,1,1352,0.0
user_612,7286,37,141,155,0,397,0.0
user_703,6416,187,472,104,1,946,0.0
user_358,60,1924,44,5,0,68,1.0
user_175,65,524,31,9,0,65,1.0
user_803,8680,356,277,162,1,145,0.0
user_763,4258,415,333,166,1,1166,0.0
user_275,10,829,25,4,0,35,1.0
user_202,36,714,0,1,0,1,1.0
user_783,4278,74,57,171,1,510,0.0
user_217,38,1268,40,18,0,80,1.0
user_740,5420,21,471,180,1,107,0.0
user_395,23,1767,46,8,0,78,1.0
user_972,324,387,59,143,1,1453,0.0
user_625,7366,452,179,107,1,853,0.0
user_678,4286,159,623,70,1,762,0.0
user_455,7,1326,1,9,1,85,1.0
user_688,8747,76,694,111,1,1460,0.0
user_376,45,1175,48,5,0,76,1.0
user_869,4000,213,451,42,1,1029,0.0
user_977,9865,382,780,149,1,1462,0.0
user_781,3736,284,136,40,1,765,0.0
user_381,96,1750,49,0,0,73,1.0
user_630,3736,300,566,173,1,1283,0.0
user_397,46,864,34,16,1,94,1.0
user_788,4880,461,92,182,1,1001,0.0
user_794,3519,336,713,90,1,427,0.0
user_40,61,1164,14,3,0,6,1.0
user_902,5970,75,351,173,1,1189,0.0
user_738,7202,373,485,121,1,951,0.0
user_203,96,934,18,2,0,55,1.0
user_169,12,1454,7,0,1,59,1.0
user_739,7412,192,974,94,0,1449,0.0
user_710,1356,466,262,137,1,575,0.0
user_585,88,1643,24,7,0,53,1.0
user_826,5215,491,272,161,1,1177,0.0
user_531,9,792,1,16,0,68,1.0
user_393,66,1671,49,8,0,25,1.0
user_828,4954,26,817,53,1,1287,0.0
user_514,75,771,5,12,0,38,1.0
user_989,2319,396,363,27,0,1003,0.0
user_810,1352,386,589,20,1,215,0.0
user_298,18,1779,49,8,0,92,1.0
user_496,68,1238,11,13,0,18,1.0
user_102,59,1211,11,8,0,80,1.0
user_5,20,1982,17,3,0,62,1.0
user_582,74,502,9,11,0,65,1.0
user_179,56,676,21,18,0,11,1.0
user_569,34,758,13,16,0,11,1.0
user_567,45,1252,15,14,0,88,1.0
user_802,8527,463,415,20,1,751,0.0
user_939,976,105,564,176,1,1258,0.0
user_42,54,1748,35,15,0,56,1.0
user_475,91,1694,16,0,1,15,1.0
user_847,2006,180,827,53,1,675,0.0
user_471,18,687,22,16,0,52,1.0
user_573,7,1188,34,3,0,26,1.0
user_435,86,1723,41,3,0,77,1.0
user_683,4949,414,141,63,1,760,0.0
user_349,26,1810,48,3,0,6,1.0
user_168,35,1438,41,1,1,56,1.0
user_831,2280,429,378,102,1,897,0.0
user_33,91,1115,48,18,0,49,1.0
user_923,6268,413,512,156,1,132,0.0
user_650,2639,91,239,153,1,712,0.0
user_596,81,1718,40,0,0,75,1.0
user_728,9437,483,757,89,0,665,0.0
user_980,4334,296,986,92,1,128,0.0
user_118,7,1503,11,11,1,87,1.0
user_384,31,554,35,10,0,83,1.0
user_460,5,871,20,7,0,36,1.0
user_436,62,965,31,6,0,4,1.0
user_707,5448,162,262,164,1,1410,0.0
user_841,4264,499,266,163,1,1340,0.0
user_512,61,1247,20,7,0,73,1.0
user_799,870,476,281,55,1,458,0.0
user_370,45,1894,9,13,0,22,1.0
user_359,47,1421,41,15,1,81,1.0
user_54,13,1538,34,16,0,13,1.0
user_935,2572,121,470,75,1,869,0.0
user_35,79,921,40,13,0,66,1.0
user_766,7038,57,851,86,1,957,0.0
user_281,30,1414,28,5,1,17,1.0
user_897,5222,213,198,94,1,1041,0.0
user_43,63,1506,5,12,0,28,1.0
user_355,63,1320,6,16,0,96,1.0
user_278,88,1608,1,19,0,44,1.0
user_734,5064,11,793,127,1,157,0.0
user_751,4904,250,474,128,1,1196,0.0
user_210,95,1828,25,5,0,42,1.0
user_898,1746,178,446,124,1,1162,0.0
user_796,9866,235,694,154,1,475,0.0
user_238,31,586,22,6,0,13,1.0
user_128,11,1901,19,0,1,84,1.0
user_287,89,1208,47,11,0,36,1.0
user_149,13,1954,23,11,0,21,1.0
user_325,99,993,27,3,0,69,1.0
user_139,90,1869,5,11,0,25,1.0
user_80,89,1447,24,18,0,16,1.0
user_618,2602,401,877,151,1,653,0.0
user_742,7991,119,70,162,1,1235,0.0
user_1,92,817,31,18,1,57,1.0
user_904,8272,45,287,115,1,367,0.0
user_95,84,1806,9,6,0,83,1.0
user_454,96,1187,48,18,0,36,1.0
user_405,32,1540,36,15,0,99,1.0
user_775,2100,98,222,86,1,310,0.0
user_823,4361,11,417,118,1,412,0.0
user_301,2,1576,44,17,0,4,1.0
user_674,1910,30,112,61,1,263,0.0
user_558,32,1384,44,7,0,60,1.0
user_107,64,862,19,11,0,44,1.0
user_523,93,888,37,0,1,82,1.0
user_180,5,784,46,6,1,92,1.0
user_22,59,1902,20,6,0,6,1.0
user_186,61,1992,29,2,0,63,1.0
user_811,7096,256,612,183,1,359,0.0
user_449,41,890,5,17,0,13,1.0
user_782,4909,156,150,188,1,1165,0.0
user_692,6630,449,623,130,1,780,0.0
user_575,25,1543,26,12,1,12,1.0
user_408,47,1438,27,2,1,85,1.0
user_335,66,1669,12,16,0,6,1.0
user_25,75,1073,19,2,1,37,1.0
user_732,7583,191,813,173,1,710,0.0
user_53,59,1971,32,0,0,58,1.0
user_60,91,656,22,14,1,83,1.0
user_509,68,976,43,12,0,52,1.0
user_276,91,1274,7,2,1,32,1.0
user_218,1,1089,24,10,0,8,1.0
user_564,12,1324,13,10,1,46,1.0
user_320,53,1804,47,8,0,80,1.0
user_413,98,1752,8,3,0,81,1.0
user_340,58,1433,10,14,0,6,1.0
user_689,9186,476,559,43,1,1104,0.0
user_909,2006,85,252,27,1,352,0.0
user_715,9688,223,213,117,0,1035,0.0
user_56,89,977,7,3,0,58,1.0
user_682,4848,38,204,40,0,1064,0.0
user_457,59,1093,43,12,1,69,1.0
user_969,6569,458,915,66,1,296,0.0
user_109,70,717,42,6,1,47,1.0
user_206,23,1841,13,0,0,1,1.0
user_865,8056,165,571,76,1,772,0.0
user_893,464,101,829,53,1,1154,0.0
user_121,32,1847,48,3,0,1,1.0
user_955,9211,40,235,44,1,1148,0.0
user_602,3866,462,441,165,1,980,0.0
user_837,5549,78,885,164,1,1216,0.0
user_30,90,901,19,1,0,99,1.0
user_540,79,1663,22,9,0,68,1.0
user_758,5224,394,59,100,1,287,0.0
user_717,3430,318,546,73,1,390,0.0
user_211,87,928,27,6,0,21,1.0
user_525,9,502,13,17,0,20,1.0
user_519,84,1425,31,17,1,9,1.0
user_61,59,1049,41,5,1,58,1.0
user_666,8802,187,869,181,1,305,0.0
user_315,24,1732,21,2,1,45,1.0
user_538,15,1867,10,1,0,95,1.0
user_949,3835,8,330,180,1,1221,0.0
user_82,33,1680,1,9,0,76,1.0
user_718,2803,411,749,192,1,1324,0.0
user_892,2225,288,546,178,1,1310,0.0
user_976,6333,409,280,50,1,222,0.0
user_779,7290,270,989,83,1,1330,0.0
user_442,61,1277,36,1,1,79,1.0
user_864,7670,8,572,38,1,919,0.0
user_716,8153,481,514,30,1,350,0.0
user_410,92,524,31,0,0,86,1.0
user_19,37,1688,11,12,0,40,1.0
user_629,7751,39,336,23,1,261,0.0
user_197,69,1883,7,19,1,34,1.0
user_800,4463,20,875,44,1,1440,0.0
user_606,6017,394,629,158,1,1439,0.0
user_638,4829,39,739,144,1,887,0.0
user_331,47,1109,29,19,0,45,1.0
user_954,4424,415,411,194,1,233,0.0
user_997,2924,355,426,168,1,1259,0.0
user_542,91,560,3,18,0,94,1.0
user_404,16,795,47,4,0,10,1.0
user_623,8435,460,92,177,1,284,0.0
user_907,7049,79,285,107,1,792,0.0
user_459,67,1489,31,2,1,80,1.0
user_51,3,1702,20,10,0,43,1.0
user_642,9024,460,512,141,1,420,0.0
user_966,4389,250,273,47,1,528,0.0
user_192,0,1188,46,13,0,73,1.0
user_589,72,1079,13,0,0,4,1.0
user_809,3474,452,548,146,1,217,0.0
user_262,18,1811,37,15,0,14,1.0
user_468,15,1675,21,5,1,14,1.0
user_526,68,1952,35,4,0,87,1.0
user_247,97,1258,14,0,0,23,1.0
user_70,49,695,40,9,0,97,1.0
user_933,6991,89,327,196,1,1240,0.0
user_195,76,975,11,7,0,85,1.0
user_313,88,1220,20,1,0,31,1.0
user_353,96,1109,19,13,1,43,1.0
user_249,85,827,11,7,1,34,1.0
user_285,6,1013,4,1,0,99,1.0
user_452,53,636,3,5,0,63,1.0
user_406,8,1740,14,19,1,75,1.0
user_780,7240,374,498,145,1,538,0.0
user_544,90,1903,5,12,0,35,1.0
user_592,98,1451,15,4,0,75,1.0
user_646,4946,215,148,143,1,1317,0.0
user_294,36,895,47,0,0,68,1.0
user_473,62,630,1,10,1,29,1.0
user_228,95,1446,37,14,1,78,1.0
user_456,52,1226,4,0,1,8,1.0
user_761,8515,366,281,115,1,210,0.0
user_485,57,1420,12,16,1,55,1.0
user_964,2651,317,153,67,0,364,0.0
user_943,1833,359,72,157,1,477,0.0
user_985,109,465,981,106,1,688,0.0
user_945,5722,316,79,42,1,990,0.0
user_361,3,1999,12,13,0,83,1.0
user_914,1162,423,394,140,1,1213,0.0
user_672,7519,248,280,198,1,1219,0.0
user_289,1,1522,14,8,0,70,1.0
user_804,8001,442,700,56,1,699,0.0
user_756,7509,6,78,135,1,270,0.0
user_187,74,1572,49,18,1,64,1.0
user_227,86,1745,33,14,0,81,1.0
user_651,7156,352,543,37,1,1279,0.0
user_877,7037,208,839,133,1,577,0.0
user_669,1424,234,469,72,1,1479,0.0
user_685,3809,355,504,122,1,809,0.0
user_160,51,1036,22,8,0,72,1.0
user_31,58,795,23,17,1,11,1.0
user_870,6777,116,232,51,1,1012,0.0
user_962,8937,317,498,164,1,278,0.0
user_863,6877,227,275,72,1,841,0.0
user_858,1987,454,400,164,1,429,0.0
user_124,27,626,46,17,0,30,1.0
user_259,19,595,48,11,0,18,1.0
user_516,89,1762,17,16,1,79,1.0
user_656,7038,268,813,194,1,1016,0.0
user_627,7292,80,712,94,1,1406,0.0
user_855,7787,152,830,72,1,1401,0.0
user_579,6,561,13,1,0,75,1.0
user_448,51,749,32,5,0,12,1.0
user_600,7457,169,166,38,1,589,0.0
user_17,87,1814,32,13,0,85,1.0
user_96,79,568,2,6,0,67,1.0
user_705,5010,343,114,47,0,964,0.0
user_250,10,1577,6,4,0,26,1.0
user_421,35,1567,17,7,0,75,1.0
user_156,76,616,30,0,0,40,1.0
user_979,2017,126,115,156,1,447,0.0
user_161,95,574,43,6,0,75,1.0
user_277,56,650,47,8,1,48,1.0
user_850,7930,377,701,139,1,605,0.0
user_319,65,736,3,5,0,57,1.0
user_341,85,533,6,17,0,32,1.0
user_99,23,1371,9,0,1,67,1.0
user_362,34,1201,21,18,0,5,1.0
user_264,66,1313,10,12,0,13,1.0
user_321,34,1882,45,19,0,99,1.0
user_184,83,1165,42,5,0,77,1.0
user_425,7,829,40,14,0,59,1.0
user_825,9650,270,386,22,1,1020,0.0
user_200,8,1664,3,7,0,89,1.0
user_551,32,510,41,2,0,53,1.0
user_580,67,1668,19,2,0,92,1.0
user_104,28,1314,40,11,0,35,1.0
user_306,23,1092,46,11,1,66,1.0
user_15,52,769,28,9,0,32,1.0
user_447,48,1609,7,5,0,63,1.0
user_932,8043,358,510,102,1,846,0.0
user_764,4025,434,764,82,1,310,0.0
user_842,8041,198,427,121,1,1046,0.0
user_389,24,568,18,3,0,30,1.0
user_615,8182,388,895,135,1,1115,0.0
user_131,47,1552,1,14,0,85,1.0
user_673,3586,498,739,150,1,1040,0.0
user_785,6700,287,249,49,1,709,0.0
user_441,62,1811,39,11,0,27,1.0
user_670,9447,44,173,142,1,539,0.0
user_127,71,1103,43,17,1,89,1.0
user_975,2148,21,351,119,1,1024,0.0
user_700,233,359,520,171,1,715,0.0
user_290,0,1909,43,1,1,58,1.0
user_21,63,1350,29,16,1,56,1.0
user_444,57,1210,35,8,0,7,1.0
user_819,7041,319,369,23,1,528,0.0
user_92,86,1254,46,3,1,20,1.0
user_93,61,1815,30,5,0,64,1.0
user_356,96,954,0,7,0,4,1.0
user_578,33,1349,17,11,0,97,1.0
user_385,86,1122,38,2,0,47,1.0
user_861,4288,235,337,40,1,480,0.0
user_816,9621,161,399,53,1,622,0.0
user_391,53,1812,9,7,0,28,1.0
user_899,1018,87,710,68,1,641,0.0
user_476,57,1435,34,6,0,47,1.0
user_560,73,1889,29,16,0,17,1.0
user_81,43,514,27,18,1,56,1.0
user_97,81,510,13,17,0,24,1.0
user_348,26,526,6,13,0,84,1.0
user_995,1442,54,467,89,0,550,0.0
user_852,6338,403,537,74,1,1443,0.0
user_854,6131,14,423,137,1,316,0.0
user_686,9373,257,790,87,1,495,0.0
user_801,1177,302,976,56,1,1447,0.0
user_590,23,1880,0,6,0,19,1.0
user_926,8358,115,611,191,1,254,0.0
user_255,69,1574,24,5,1,6,1.0
user_991,2160,300,61,55,1,221,0.0
user_487,33,1221,30,6,0,20,1.0
user_655,6413,168,449,78,1,379,0.0
user_635,5261,185,691,69,1,300,0.0
user_721,7214,221,966,168,1,607,0.0
user_270,32,1409,1,2,1,35,1.0
user_26,57,631,36,4,1,64,1.0
user_719,8762,59,444,66,1,425,0.0
user_334,6,1337,48,11,0,94,1.0
user_953,1163,222,185,36,0,482,0.0
user_887,402,165,171,23,1,1279,0.0
user_821,7102,280,599,121,1,846,0.0
user_23,20,577,30,3,0,86,1.0
user_978,1928,2,972,35,1,877,0.0
user_414,49,607,13,2,0,64,1.0
user_316,92,1025,18,7,1,66,1.0
user_876,7340,204,675,179,1,170,0.0
user_968,6416,6,923,118,1,826,0.0
user_446,85,1480,8,7,0,46,1.0
user_815,7049,14,822,28,0,465,0.0
user_115,62,1327,36,9,1,12,1.0
user_445,57,900,2,0,0,63,1.0
user_371,5,1293,23,8,1,11,1.0
user_2,14,735,43,5,0,8,1.0
user_223,1,1001,30,3,0,90,1.0
user_559,39,1766,34,1,0,88,1.0
user_388,17,905,17,8,0,87,1.0
user_820,9650,496,187,177,1,890,0.0
user_675,6688,22,534,117,1,247,0.0
user_617,4460,89,707,50,0,1497,0.0
user_164,22,974,22,1,0,5,1.0
user_483,11,1872,35,16,1,37,1.0
user_574,92,1622,1,2,0,50,1.0
user_880,6593,273,221,175,1,288,0.0
user_122,4,1656,43,10,0,89,1.0
user_552,60,1585,11,19,1,32,1.0
user_86,13,823,0,4,0,25,1.0
user_171,70,1262,20,4,0,69,1.0
user_229,96,1330,45,15,0,45,1.0
user_463,46,901,7,15,1,47,1.0
user_774,8275,464,905,190,1,539,0.0
user_282,93,1808,25,18,0,71,1.0
user_750,355,163,442,154,0,375,0.0
user_236,31,661,12,11,0,54,1.0
user_386,32,1163,9,8,1,69,1.0
user_378,94,686,26,7,0,14,1.0
user_776,9960,396,516,73,0,851,0.0
user_311,83,627,14,19,0,15,1.0
user_199,26,826,45,8,1,52,1.0
user_706,4275,364,62,24,1,1368,0.0
user_993,1719,121,63,22,1,274,0.0
user_58,1,1422,47,15,0,81,1.0
user_808,2914,440,440,147,1,480,0.0
user_680,6077,436,532,193,1,222,0.0
user_327,67,1165,7,5,0,39,1.0
user_221,80,1509,8,7,0,17,1.0
user_183,43,1161,25,7,0,90,1.0
user_565,11,717,5,0,0,39,1.0
user_900,2897,40,687,98,1,1401,0.0
user_601,3540,8,531,176,1,894,0.0
user_77,92,1314,38,5,0,38,1.0
user_712,5745,454,387,83,1,1233,0.0
user_165,14,917,44,5,1,53,1.0
user_987,6138,86,283,181,1,1270,0.0
user_283,41,1199,24,11,1,50,1.0
user_768,4100,25,775,32,1,1149,0.0
user_114,87,1492,42,15,0,84,1.0
user_382,62,1833,23,19,1,23,1.0
user_901,6606,400,953,112,1,1326,0.0
user_792,4644,26,457,45,1,1343,0.0
user_151,8,1832,33,0,0,99,1.0
user_755,9089,459,609,91,1,784,0.0
user_786,6097,129,554,76,1,526,0.0
user_284,98,581,11,10,1,65,1.0
user_848,6354,23,198,58,1,1369,0.0
user_214,57,1947,5,10,0,22,1.0
user_930,4306,193,137,70,1,943,0.0
user_547,11,1963,42,17,0,61,1.0
user_753,109,435,179,67,1,1225,0.0
user_521,99,1882,15,1,0,4,1.0
user_944,1705,458,462,194,1,679,0.0
user_6,82,1660,18,14,0,12,1.0
user_172,58,1702,0,1,0,73,1.0
user_272,38,1322,8,3,0,35,1.0
user_553,50,725,46,5,0,66,1.0
user_594,98,1134,2,3,0,50,1.0
user_499,66,913,2,7,0,30,1.0
user_866,5224,431,832,44,0,612,0.0
user_583,28,659,24,14,0,47,1.0
user_940,3912,374,752,180,1,521,0.0
user_908,6982,309,785,69,1,354,0.0
user_658,9509,44,309,164,1,945,0.0
user_304,53,1887,42,16,0,28,1.0
user_647,6831,146,198,120,1,1408,0.0
user_741,6232,473,603,170,1,128,0.0
user_518,47,765,38,19,1,20,1.0
user_611,798,462,657,88,1,543,0.0
user_860,766,381,337,32,1,490,0.0
user_269,51,968,9,4,0,63,1.0
user_676,3023,425,677,179,1,393,0.0
user_546,23,1306,21,13,1,85,1.0
user_491,0,1949,29,10,0,36,1.0
user_216,11,517,32,4,1,99,1.0
user_735,4935,405,276,71,1,1234,0.0
user_323,60,1801,28,7,0,74,1.0
user_360,18,1480,46,18,0,41,1.0
user_215,51,1542,8,18,1,38,1.0
user_383,84,597,18,13,0,74,1.0
user_143,46,1324,48,4,0,70,1.0
user_317,17,1020,33,14,0,8,1.0
user_918,7741,1,830,158,1,697,0.0
user_466,39,1796,43,16,0,23,1.0
user_324,40,1758,46,2,0,18,1.0
user_191,96,1884,7,3,0,94,1.0
user_586,20,1392,32,10,1,71,1.0
user_593,48,1846,45,6,0,40,1.0
